crop_name,planting_date,harvest_date,growth_stage,pest_control_measures,yield_prediction
Corn,2024-08-21,2024-12-27,Fruiting,Crop rotation,1323
Barley,2024-07-26,2025-01-01,Vegetative,Crop rotation,4904
Lettuce,2024-08-20,2025-02-14,Flowering,Chemical pesticides,3864
Barley,2023-08-19,2023-12-07,Fruiting,Crop rotation,723
Sugarcane,2023-07-21,2023-10-27,Maturity,Neem oil application,4854
Tomato,2024-01-01,2024-04-07,Flowering,Biological pest control,1697
Lettuce,2023-06-08,2023-10-29,Vegetative,Biological pest control,3956
Lettuce,2023-05-10,2023-10-30,Seedling,Biological pest control,2243
Rice,2025-02-12,2025-04-14,Seedling,Use of organic pesticides,4129
Tomato,2023-03-07,2023-05-10,Vegetative,Chemical pesticides,1667
Rice,2024-05-02,2024-10-02,Seedling,Neem oil application,1733
Corn,2024-03-08,2024-07-06,Flowering,Biological pest control,2913
Tomato,2024-05-03,2024-07-04,Flowering,Neem oil application,2124
Rice,2024-06-25,2024-12-16,Fruiting,Crop rotation,1591
Soybean,2024-12-30,2025-03-22,Fruiting,Use of organic pesticides,4560
Wheat,2023-11-30,2024-02-09,Fruiting,Use of organic pesticides,1514
Potato,2023-05-22,2023-09-30,Seedling,Crop rotation,2543
Barley,2023-11-25,2024-03-13,Seedling,Crop rotation,1527
Wheat,2024-03-18,2024-05-30,Maturity,Use of organic pesticides,2465
Barley,2024-06-16,2024-09-16,Seedling,Use of organic pesticides,2895
Soybean,2024-02-18,2024-07-29,Vegetative,Chemical pesticides,2300
Cotton,2024-10-18,2025-01-28,Flowering,Chemical pesticides,3746
Rice,2023-12-13,2024-03-02,Maturity,Use of organic pesticides,1282
Wheat,2024-07-29,2025-01-17,Flowering,Crop rotation,3725
Lettuce,2024-06-10,2024-11-19,Seedling,Use of organic pesticides,1154
Tomato,2024-01-30,2024-05-27,Maturity,Use of organic pesticides,1636
Barley,2024-04-16,2024-10-03,Fruiting,Neem oil application,1501
Barley,2024-09-13,2025-03-02,Maturity,Regular field monitoring,1595
Sugarcane,2024-05-22,2024-11-01,Vegetative,Crop rotation,1368
Cotton,2024-07-31,2025-01-04,Seedling,Use of organic pesticides,3352
Corn,2024-05-27,2024-09-24,Flowering,Use of organic pesticides,1191
Corn,2023-12-13,2024-04-22,Maturity,Biological pest control,1371
Wheat,2023-10-14,2023-12-28,Vegetative,Crop rotation,4702
Rice,2024-01-27,2024-06-02,Vegetative,Neem oil application,2509
Sugarcane,2024-09-22,2025-01-10,Flowering,Regular field monitoring,4425
Lettuce,2024-10-25,2025-01-03,Maturity,Chemical pesticides,1092
Lettuce,2023-09-22,2023-12-24,Flowering,Neem oil application,4829
Soybean,2023-12-02,2024-03-30,Fruiting,Neem oil application,967
Cotton,2024-05-18,2024-10-23,Flowering,Regular field monitoring,2828
Corn,2023-06-18,2023-08-28,Flowering,Chemical pesticides,1537
Tomato,2023-04-11,2023-07-06,Vegetative,Use of organic pesticides,2916
Tomato,2023-04-27,2023-07-08,Maturity,Biological pest control,3841
Rice,2024-01-14,2024-06-23,Flowering,Crop rotation,3686
Tomato,2024-05-26,2024-10-15,Seedling,Chemical pesticides,3450
Barley,2024-07-04,2024-12-07,Vegetative,Biological pest control,2863
Tomato,2024-03-23,2024-05-30,Fruiting,Crop rotation,4791
Wheat,2023-09-07,2023-12-03,Maturity,Biological pest control,608
Barley,2024-08-05,2025-01-08,Flowering,Biological pest control,4382
Rice,2023-03-16,2023-06-09,Flowering,Crop rotation,1436
Lettuce,2024-07-09,2024-09-30,Seedling,Biological pest control,1309
Tomato,2024-11-05,2025-03-18,Vegetative,Biological pest control,3139
Cotton,2024-05-11,2024-09-14,Fruiting,Biological pest control,2393
Tomato,2024-10-02,2025-01-04,Seedling,Neem oil application,2050
Barley,2023-10-14,2024-01-30,Maturity,Regular field monitoring,1071
Potato,2025-01-24,2025-07-08,Flowering,Chemical pesticides,586
Rice,2025-01-09,2025-06-19,Vegetative,Biological pest control,1530
Rice,2024-03-26,2024-07-17,Maturity,Regular field monitoring,3757
Lettuce,2023-05-09,2023-07-20,Maturity,Regular field monitoring,2210
Soybean,2024-04-27,2024-10-05,Fruiting,Crop rotation,2707
Corn,2023-12-03,2024-02-03,Flowering,Biological pest control,4360
Lettuce,2024-03-19,2024-07-20,Seedling,Biological pest control,3327
Lettuce,2023-04-24,2023-09-06,Seedling,Neem oil application,3635
Barley,2023-06-22,2023-10-23,Fruiting,Regular field monitoring,3693
Tomato,2023-09-24,2024-03-16,Maturity,Chemical pesticides,4271
Lettuce,2023-11-08,2024-03-19,Vegetative,Regular field monitoring,3143
Rice,2024-05-17,2024-08-02,Seedling,Regular field monitoring,2091
Rice,2024-02-14,2024-07-01,Seedling,Crop rotation,3089
Cotton,2025-02-16,2025-05-27,Vegetative,Chemical pesticides,1123
Tomato,2024-11-29,2025-05-21,Vegetative,Chemical pesticides,1769
Corn,2024-08-21,2025-01-27,Flowering,Biological pest control,2304
Wheat,2023-09-06,2023-11-05,Fruiting,Neem oil application,4472
Sugarcane,2023-08-20,2023-12-05,Vegetative,Neem oil application,2973
Potato,2024-01-31,2024-06-06,Seedling,Chemical pesticides,4105
Barley,2023-12-23,2024-05-11,Seedling,Regular field monitoring,4738
Soybean,2023-06-14,2023-11-06,Seedling,Use of organic pesticides,1074
Rice,2024-08-28,2024-11-14,Maturity,Biological pest control,4124
Soybean,2024-10-09,2024-12-24,Maturity,Biological pest control,3257
Corn,2024-03-31,2024-08-30,Vegetative,Chemical pesticides,2138
Sugarcane,2024-12-11,2025-03-20,Fruiting,Crop rotation,2979
Tomato,2023-07-05,2023-10-02,Fruiting,Neem oil application,1541
Barley,2024-05-21,2024-10-11,Flowering,Crop rotation,782
Potato,2023-03-05,2023-05-22,Fruiting,Chemical pesticides,2159
Tomato,2023-06-13,2023-08-31,Seedling,Regular field monitoring,1016
Soybean,2024-12-05,2025-02-21,Flowering,Chemical pesticides,2287
Barley,2024-12-23,2025-05-03,Maturity,Chemical pesticides,2738
Sugarcane,2024-08-20,2024-12-26,Maturity,Use of organic pesticides,2843
Soybean,2024-05-11,2024-11-02,Fruiting,Biological pest control,3352
Rice,2023-04-17,2023-06-29,Vegetative,Neem oil application,3844
Lettuce,2023-05-08,2023-09-06,Vegetative,Neem oil application,585
Barley,2023-12-02,2024-04-26,Fruiting,Regular field monitoring,3448
Cotton,2024-11-22,2025-03-07,Seedling,Biological pest control,3208
Cotton,2024-06-16,2024-08-25,Maturity,Crop rotation,2563
Soybean,2023-05-07,2023-07-22,Seedling,Use of organic pesticides,1156
Rice,2023-11-11,2024-02-03,Seedling,Neem oil application,1581
Lettuce,2023-12-05,2024-02-15,Maturity,Neem oil application,3731
Tomato,2023-03-03,2023-05-03,Vegetative,Regular field monitoring,863
Potato,2024-12-22,2025-04-20,Flowering,Chemical pesticides,4263
Cotton,2024-08-23,2025-01-17,Flowering,Crop rotation,3498
Tomato,2024-11-01,2025-02-13,Fruiting,Neem oil application,885
Wheat,2023-02-28,2023-06-26,Maturity,Use of organic pesticides,1683
Barley,2023-10-15,2024-03-28,Maturity,Crop rotation,987
Corn,2023-08-25,2023-11-01,Maturity,Neem oil application,4258
Potato,2023-10-09,2024-02-12,Seedling,Biological pest control,647
Wheat,2024-10-17,2024-12-28,Maturity,Biological pest control,3286
Corn,2024-02-09,2024-07-27,Fruiting,Use of organic pesticides,3706
Cotton,2024-03-16,2024-05-22,Flowering,Use of organic pesticides,3637
Lettuce,2024-05-22,2024-09-25,Maturity,Regular field monitoring,3936
Potato,2023-10-08,2024-03-18,Fruiting,Biological pest control,1047
Lettuce,2024-06-24,2024-10-21,Seedling,Regular field monitoring,3112
Cotton,2024-05-15,2024-10-19,Seedling,Neem oil application,3682
Corn,2023-11-11,2024-02-07,Vegetative,Chemical pesticides,4202
Soybean,2023-11-08,2024-04-25,Seedling,Neem oil application,2376
Tomato,2023-08-27,2024-02-09,Fruiting,Chemical pesticides,1531
Cotton,2023-08-24,2024-02-04,Flowering,Use of organic pesticides,3865
Sugarcane,2024-05-22,2024-08-11,Fruiting,Biological pest control,3582
Potato,2023-09-11,2024-02-22,Vegetative,Chemical pesticides,3823
Wheat,2024-11-24,2025-02-04,Maturity,Regular field monitoring,4314
Soybean,2024-03-04,2024-05-10,Seedling,Regular field monitoring,3109
Tomato,2023-11-22,2024-03-13,Vegetative,Biological pest control,1402
Lettuce,2023-04-04,2023-07-27,Vegetative,Use of organic pesticides,2162
Corn,2023-07-09,2023-12-01,Fruiting,Biological pest control,1427
Sugarcane,2023-12-12,2024-05-12,Fruiting,Neem oil application,2210
Tomato,2023-04-24,2023-07-30,Vegetative,Use of organic pesticides,2367
Potato,2024-10-21,2024-12-23,Seedling,Neem oil application,2509
Barley,2023-10-19,2024-01-29,Fruiting,Chemical pesticides,3592
Potato,2024-04-26,2024-08-20,Vegetative,Biological pest control,2289
Sugarcane,2024-02-03,2024-06-20,Vegetative,Chemical pesticides,2316
Potato,2024-05-16,2024-07-30,Seedling,Chemical pesticides,4050
Cotton,2024-03-16,2024-08-13,Maturity,Use of organic pesticides,1530
Lettuce,2024-10-08,2025-01-08,Vegetative,Use of organic pesticides,3346
Lettuce,2023-04-02,2023-09-27,Seedling,Biological pest control,1820
Potato,2024-07-05,2024-12-29,Maturity,Biological pest control,3421
Soybean,2024-12-15,2025-02-23,Fruiting,Crop rotation,3336
Lettuce,2024-04-11,2024-10-04,Maturity,Chemical pesticides,4006
Tomato,2024-07-31,2024-10-17,Flowering,Neem oil application,2249
Barley,2023-05-18,2023-09-01,Maturity,Chemical pesticides,4309
Potato,2024-03-15,2024-07-22,Maturity,Chemical pesticides,1318
Soybean,2023-04-30,2023-09-17,Seedling,Use of organic pesticides,2506
Potato,2024-01-09,2024-05-06,Seedling,Chemical pesticides,3080
Soybean,2024-11-15,2025-04-22,Flowering,Use of organic pesticides,4498
Wheat,2024-05-18,2024-09-02,Vegetative,Crop rotation,2586
Corn,2024-11-26,2025-04-01,Fruiting,Regular field monitoring,4823
Corn,2023-05-28,2023-08-30,Vegetative,Neem oil application,2793
Corn,2024-04-09,2024-09-24,Flowering,Crop rotation,2250
Wheat,2023-08-20,2023-12-31,Seedling,Biological pest control,4380
Cotton,2024-01-13,2024-06-18,Seedling,Regular field monitoring,2614
Potato,2023-12-04,2024-04-12,Fruiting,Chemical pesticides,1240
Lettuce,2023-11-21,2024-01-29,Flowering,Crop rotation,3432
Potato,2024-07-03,2024-10-22,Vegetative,Crop rotation,4938
Tomato,2023-09-04,2023-12-03,Flowering,Neem oil application,1229
Soybean,2024-04-19,2024-09-14,Vegetative,Biological pest control,2223
Rice,2023-03-24,2023-06-26,Maturity,Regular field monitoring,3176
Tomato,2024-11-02,2025-03-27,Seedling,Chemical pesticides,1996
Soybean,2023-08-26,2023-12-04,Seedling,Neem oil application,4609
Tomato,2024-11-14,2025-04-18,Flowering,Crop rotation,2368
Lettuce,2023-11-27,2024-02-03,Flowering,Use of organic pesticides,2219
Barley,2023-12-04,2024-05-09,Fruiting,Crop rotation,4306
Barley,2024-02-15,2024-07-19,Seedling,Biological pest control,3276
Potato,2023-12-11,2024-03-05,Vegetative,Chemical pesticides,1357
Rice,2023-09-17,2023-12-20,Fruiting,Regular field monitoring,1698
Corn,2023-06-25,2023-12-13,Flowering,Chemical pesticides,1359
Soybean,2024-04-24,2024-07-23,Vegetative,Neem oil application,1937
Barley,2023-11-26,2024-05-16,Fruiting,Crop rotation,3203
Soybean,2025-01-19,2025-05-11,Seedling,Biological pest control,4921
Wheat,2025-01-06,2025-03-19,Maturity,Biological pest control,669
Barley,2023-08-26,2024-01-07,Flowering,Neem oil application,708
Rice,2024-04-30,2024-08-28,Fruiting,Biological pest control,937
Corn,2023-03-13,2023-05-17,Vegetative,Biological pest control,1481
Wheat,2024-08-26,2025-01-07,Seedling,Crop rotation,742
Soybean,2024-11-19,2025-03-04,Maturity,Chemical pesticides,1649
Barley,2024-12-05,2025-03-12,Maturity,Neem oil application,2438
Soybean,2025-02-01,2025-07-17,Maturity,Chemical pesticides,4587
Rice,2023-06-02,2023-10-04,Vegetative,Chemical pesticides,657
Corn,2023-06-05,2023-08-21,Seedling,Neem oil application,3256
Wheat,2023-05-16,2023-07-23,Seedling,Crop rotation,4327
Barley,2023-10-07,2024-01-07,Flowering,Regular field monitoring,4496
Tomato,2023-12-08,2024-03-21,Fruiting,Regular field monitoring,1357
Sugarcane,2024-02-10,2024-07-06,Maturity,Use of organic pesticides,549
Soybean,2023-09-15,2023-12-21,Fruiting,Regular field monitoring,2490
Barley,2024-04-25,2024-08-24,Flowering,Chemical pesticides,3782
Wheat,2024-05-18,2024-11-11,Fruiting,Neem oil application,2768
Corn,2023-12-24,2024-05-17,Seedling,Crop rotation,4325
Barley,2024-09-03,2025-02-08,Fruiting,Regular field monitoring,3786
Barley,2023-09-30,2024-01-05,Vegetative,Biological pest control,896
Barley,2024-05-13,2024-07-26,Seedling,Chemical pesticides,819
Tomato,2023-03-07,2023-07-28,Seedling,Neem oil application,1019
Sugarcane,2025-01-20,2025-07-14,Maturity,Use of organic pesticides,2330
Soybean,2023-07-25,2023-11-26,Fruiting,Biological pest control,3792
Corn,2023-04-05,2023-06-04,Maturity,Regular field monitoring,2331
Tomato,2024-10-18,2025-04-10,Seedling,Biological pest control,1422
Lettuce,2024-04-01,2024-07-04,Vegetative,Crop rotation,2548
Potato,2024-09-16,2025-03-05,Vegetative,Chemical pesticides,3998
Corn,2023-03-26,2023-07-17,Seedling,Use of organic pesticides,4951
Corn,2025-01-19,2025-05-26,Seedling,Neem oil application,2021
Sugarcane,2024-11-03,2025-04-04,Maturity,Chemical pesticides,4087
Barley,2024-09-03,2024-11-27,Fruiting,Use of organic pesticides,1100
Wheat,2025-01-18,2025-04-30,Seedling,Use of organic pesticides,2039
Sugarcane,2023-05-02,2023-07-20,Seedling,Crop rotation,1291
Cotton,2023-06-20,2023-12-09,Maturity,Biological pest control,2544
Rice,2024-02-03,2024-04-10,Flowering,Biological pest control,4733
Potato,2023-07-29,2023-10-16,Fruiting,Chemical pesticides,2406
Sugarcane,2023-06-27,2023-11-29,Seedling,Regular field monitoring,1068
Barley,2025-01-07,2025-05-02,Fruiting,Biological pest control,1180
Corn,2024-06-24,2024-09-24,Flowering,Regular field monitoring,3493
Corn,2023-08-21,2023-11-11,Flowering,Neem oil application,4848
Rice,2023-08-07,2023-10-08,Maturity,Chemical pesticides,3974
Potato,2024-11-30,2025-05-01,Maturity,Biological pest control,3733
Rice,2023-09-27,2024-03-22,Maturity,Use of organic pesticides,2961
Soybean,2023-07-08,2023-10-17,Vegetative,Biological pest control,1667
Tomato,2024-12-28,2025-04-19,Vegetative,Neem oil application,1343
Potato,2025-02-12,2025-05-08,Fruiting,Crop rotation,1193
Potato,2024-07-21,2024-11-03,Fruiting,Use of organic pesticides,1490
Corn,2024-10-06,2025-03-21,Fruiting,Crop rotation,1739
Potato,2023-03-04,2023-08-23,Fruiting,Chemical pesticides,1546
Corn,2024-05-13,2024-08-20,Maturity,Use of organic pesticides,870
Wheat,2023-09-23,2024-01-04,Fruiting,Biological pest control,4641
Rice,2024-09-26,2025-02-03,Fruiting,Use of organic pesticides,1519
Potato,2024-12-12,2025-04-11,Fruiting,Crop rotation,1852
Wheat,2023-05-26,2023-07-31,Flowering,Neem oil application,946
Barley,2024-07-17,2024-10-14,Seedling,Chemical pesticides,2484
Lettuce,2023-04-14,2023-08-24,Flowering,Chemical pesticides,1351
Cotton,2023-07-13,2023-11-04,Seedling,Biological pest control,4944
Rice,2024-05-08,2024-09-18,Maturity,Chemical pesticides,1998
Potato,2024-08-08,2024-10-08,Flowering,Neem oil application,1190
Barley,2023-05-17,2023-07-16,Vegetative,Use of organic pesticides,1021
Soybean,2024-11-15,2025-01-17,Seedling,Biological pest control,4325
Rice,2024-10-30,2025-04-03,Flowering,Crop rotation,1421
Wheat,2024-03-15,2024-06-20,Fruiting,Neem oil application,4723
Soybean,2023-08-15,2023-12-30,Maturity,Use of organic pesticides,2148
Cotton,2024-04-17,2024-08-14,Maturity,Biological pest control,3866
Soybean,2024-06-05,2024-08-24,Flowering,Use of organic pesticides,972
Potato,2025-01-23,2025-05-02,Fruiting,Use of organic pesticides,4715
Corn,2024-09-01,2024-12-04,Vegetative,Biological pest control,3242
Tomato,2024-12-08,2025-04-01,Maturity,Regular field monitoring,3093
Soybean,2023-05-31,2023-10-26,Flowering,Chemical pesticides,2506
Wheat,2023-08-29,2024-01-26,Vegetative,Chemical pesticides,532
Cotton,2024-09-03,2024-12-17,Flowering,Crop rotation,1075
Barley,2023-12-03,2024-02-21,Fruiting,Regular field monitoring,4139
Cotton,2024-06-10,2024-09-10,Vegetative,Crop rotation,3073
Wheat,2023-11-07,2024-01-07,Seedling,Biological pest control,3009
Lettuce,2023-12-20,2024-04-24,Fruiting,Use of organic pesticides,2211
Wheat,2024-04-01,2024-09-12,Flowering,Crop rotation,4364
Cotton,2024-05-03,2024-07-10,Fruiting,Regular field monitoring,2639
Barley,2023-07-25,2024-01-19,Fruiting,Biological pest control,2419
Potato,2025-01-11,2025-03-26,Seedling,Neem oil application,2602
Soybean,2024-09-08,2024-12-08,Vegetative,Crop rotation,1643
Barley,2024-09-02,2025-02-12,Vegetative,Crop rotation,2803
Barley,2024-06-15,2024-08-29,Fruiting,Regular field monitoring,931
Rice,2024-08-04,2024-11-19,Maturity,Regular field monitoring,957
Lettuce,2023-12-11,2024-05-18,Maturity,Neem oil application,4480
Potato,2023-11-07,2024-01-12,Flowering,Crop rotation,4272
Lettuce,2023-12-10,2024-04-22,Maturity,Regular field monitoring,3880
Soybean,2023-05-04,2023-10-04,Seedling,Neem oil application,1894
Soybean,2024-11-06,2025-02-08,Vegetative,Crop rotation,3843
Cotton,2023-04-06,2023-07-16,Flowering,Biological pest control,1497
Barley,2023-08-07,2023-10-22,Vegetative,Crop rotation,1316
Cotton,2024-08-05,2024-12-21,Flowering,Biological pest control,664
Potato,2024-03-15,2024-09-05,Flowering,Regular field monitoring,796
Soybean,2023-06-15,2023-11-24,Maturity,Use of organic pesticides,2212
Sugarcane,2024-02-20,2024-05-15,Flowering,Regular field monitoring,2154
Cotton,2023-06-26,2023-09-06,Seedling,Crop rotation,4503
Tomato,2024-06-12,2024-12-02,Maturity,Regular field monitoring,3182
Barley,2023-08-07,2023-11-11,Flowering,Chemical pesticides,2837
Wheat,2023-02-27,2023-06-08,Vegetative,Regular field monitoring,3612
Lettuce,2024-12-26,2025-06-19,Vegetative,Biological pest control,4637
Corn,2024-01-30,2024-06-26,Seedling,Use of organic pesticides,2935
Lettuce,2023-06-27,2023-09-27,Flowering,Chemical pesticides,3767
Tomato,2024-09-01,2025-01-11,Fruiting,Use of organic pesticides,4316
Barley,2025-02-15,2025-07-09,Flowering,Chemical pesticides,669
Lettuce,2023-11-12,2024-03-14,Fruiting,Regular field monitoring,2159
Wheat,2024-08-28,2024-12-04,Vegetative,Chemical pesticides,4132
Potato,2024-12-20,2025-03-16,Seedling,Biological pest control,3783
Wheat,2024-09-30,2024-12-23,Fruiting,Chemical pesticides,2772
Rice,2023-11-23,2024-02-21,Fruiting,Crop rotation,559
Potato,2023-05-15,2023-09-29,Maturity,Neem oil application,1861
Rice,2024-10-07,2025-02-26,Vegetative,Regular field monitoring,4860
Soybean,2024-12-16,2025-05-19,Flowering,Regular field monitoring,1171
Sugarcane,2023-04-27,2023-08-19,Seedling,Biological pest control,3239
Rice,2025-02-12,2025-07-26,Maturity,Chemical pesticides,4277
Soybean,2024-09-13,2024-12-03,Flowering,Neem oil application,1730
Tomato,2023-03-10,2023-08-12,Seedling,Regular field monitoring,4846
Cotton,2023-08-31,2024-01-15,Flowering,Biological pest control,3264
Corn,2023-12-14,2024-04-19,Fruiting,Crop rotation,2316
Wheat,2023-05-16,2023-11-07,Maturity,Crop rotation,4709
Cotton,2023-03-12,2023-06-13,Maturity,Chemical pesticides,4457
Cotton,2023-07-05,2023-09-20,Seedling,Crop rotation,1450
Corn,2024-08-11,2024-10-15,Maturity,Crop rotation,1914
Tomato,2023-07-02,2023-09-29,Seedling,Crop rotation,1997
Soybean,2023-04-06,2023-07-04,Flowering,Crop rotation,1806
Wheat,2024-10-30,2025-01-31,Vegetative,Use of organic pesticides,1075
Barley,2023-07-11,2023-10-01,Flowering,Neem oil application,2204
Wheat,2023-02-28,2023-08-27,Seedling,Neem oil application,3608
Rice,2024-10-21,2025-03-25,Seedling,Regular field monitoring,3004
Rice,2023-07-04,2023-11-12,Maturity,Use of organic pesticides,4610
Potato,2024-08-21,2024-11-19,Vegetative,Neem oil application,1144
Sugarcane,2023-03-13,2023-07-20,Maturity,Use of organic pesticides,3971
Rice,2023-08-06,2024-01-22,Fruiting,Chemical pesticides,2344
Soybean,2024-12-21,2025-06-17,Maturity,Neem oil application,1532
Wheat,2024-12-08,2025-05-02,Maturity,Biological pest control,3287
Barley,2024-05-31,2024-11-06,Flowering,Biological pest control,3131
Corn,2024-03-23,2024-08-13,Vegetative,Use of organic pesticides,2838
Sugarcane,2024-07-06,2024-10-25,Flowering,Crop rotation,3945
Wheat,2024-06-25,2024-10-20,Fruiting,Chemical pesticides,2029
Corn,2025-01-11,2025-06-08,Flowering,Crop rotation,1266
Sugarcane,2023-03-30,2023-06-06,Seedling,Neem oil application,2494
Wheat,2024-05-28,2024-11-13,Seedling,Biological pest control,1051
Lettuce,2024-01-07,2024-04-22,Maturity,Regular field monitoring,3935
Lettuce,2023-11-15,2024-02-02,Fruiting,Regular field monitoring,2448
Tomato,2023-10-11,2024-02-06,Vegetative,Crop rotation,1278
Lettuce,2024-08-27,2024-11-24,Vegetative,Chemical pesticides,1830
Tomato,2024-11-21,2025-05-20,Fruiting,Biological pest control,3463
Sugarcane,2023-08-08,2023-12-11,Fruiting,Neem oil application,1689
Soybean,2024-12-24,2025-05-06,Maturity,Chemical pesticides,4813
Corn,2023-07-21,2023-12-05,Fruiting,Biological pest control,598
Barley,2023-06-27,2023-11-07,Flowering,Regular field monitoring,2911
Potato,2024-06-01,2024-10-13,Flowering,Neem oil application,2014
Wheat,2023-06-15,2023-09-30,Flowering,Use of organic pesticides,4748
Barley,2024-12-01,2025-03-21,Fruiting,Biological pest control,1324
Rice,2024-12-02,2025-05-23,Vegetative,Chemical pesticides,4038
Sugarcane,2023-03-18,2023-05-28,Seedling,Use of organic pesticides,3191
Lettuce,2025-02-09,2025-04-22,Vegetative,Biological pest control,4613
Tomato,2024-07-17,2025-01-11,Fruiting,Neem oil application,4875
Corn,2023-09-08,2023-11-19,Fruiting,Chemical pesticides,2391
Barley,2023-09-20,2023-12-06,Maturity,Use of organic pesticides,1015
Barley,2025-01-17,2025-04-22,Seedling,Neem oil application,4548
Rice,2024-12-09,2025-02-24,Seedling,Neem oil application,1266
Rice,2023-12-06,2024-05-08,Flowering,Chemical pesticides,1817
Rice,2025-01-27,2025-04-16,Vegetative,Biological pest control,1540
Corn,2024-05-17,2024-08-07,Flowering,Use of organic pesticides,684
Corn,2023-06-01,2023-09-25,Vegetative,Neem oil application,4294
Lettuce,2025-02-09,2025-06-08,Maturity,Biological pest control,1321
Lettuce,2024-08-18,2024-12-08,Maturity,Neem oil application,1484
Soybean,2023-03-09,2023-07-26,Flowering,Neem oil application,3362
Sugarcane,2024-09-16,2024-12-07,Maturity,Regular field monitoring,2471
Barley,2024-11-13,2025-02-03,Flowering,Use of organic pesticides,611
Lettuce,2024-03-25,2024-06-22,Maturity,Use of organic pesticides,4747
Barley,2023-06-08,2023-11-25,Flowering,Chemical pesticides,4846
Lettuce,2023-02-28,2023-07-21,Seedling,Use of organic pesticides,2898
Lettuce,2024-07-12,2024-11-21,Vegetative,Neem oil application,2628
Corn,2023-04-11,2023-06-17,Flowering,Crop rotation,731
Cotton,2023-07-06,2023-09-19,Flowering,Crop rotation,1195
Soybean,2024-06-30,2024-11-19,Flowering,Chemical pesticides,1465
Corn,2023-10-09,2024-01-26,Vegetative,Biological pest control,2406
Soybean,2024-11-26,2025-04-07,Flowering,Use of organic pesticides,1593
Potato,2024-12-12,2025-02-13,Seedling,Neem oil application,4873
Rice,2024-03-25,2024-08-18,Maturity,Chemical pesticides,3637
Soybean,2023-12-16,2024-04-02,Maturity,Use of organic pesticides,4717
Soybean,2024-01-22,2024-05-08,Flowering,Regular field monitoring,1458
Lettuce,2024-11-15,2025-04-23,Flowering,Biological pest control,3584
Lettuce,2023-09-17,2024-02-11,Flowering,Crop rotation,4547
Barley,2023-12-20,2024-03-12,Seedling,Biological pest control,4250
Potato,2024-08-30,2025-02-09,Maturity,Crop rotation,3610
Wheat,2023-03-23,2023-05-26,Fruiting,Regular field monitoring,4724
Sugarcane,2024-07-17,2024-12-12,Flowering,Neem oil application,4074
Wheat,2024-08-04,2024-10-20,Maturity,Biological pest control,2893
Potato,2023-09-21,2024-01-19,Fruiting,Regular field monitoring,2001
Cotton,2023-11-05,2024-04-03,Maturity,Regular field monitoring,4596
Rice,2024-07-19,2024-12-08,Seedling,Biological pest control,4785
Lettuce,2024-09-16,2025-02-16,Fruiting,Biological pest control,2492
Sugarcane,2025-01-31,2025-07-22,Fruiting,Chemical pesticides,1409
Soybean,2024-11-01,2025-02-19,Maturity,Neem oil application,512
Wheat,2023-12-23,2024-03-03,Flowering,Regular field monitoring,2495
Rice,2024-10-14,2025-02-28,Maturity,Neem oil application,1098
Corn,2024-05-19,2024-08-06,Maturity,Neem oil application,1760
Corn,2024-08-20,2024-12-11,Seedling,Use of organic pesticides,1234
Soybean,2023-02-24,2023-06-26,Vegetative,Neem oil application,3148
Barley,2023-11-08,2024-04-05,Fruiting,Neem oil application,2400
Potato,2023-11-21,2024-03-09,Flowering,Regular field monitoring,4873
Potato,2024-05-21,2024-08-10,Flowering,Use of organic pesticides,3818
Wheat,2025-01-04,2025-06-09,Maturity,Biological pest control,4868
Wheat,2023-02-23,2023-07-20,Seedling,Use of organic pesticides,1930
Wheat,2023-07-10,2023-12-19,Maturity,Crop rotation,936
Rice,2024-12-23,2025-05-06,Maturity,Chemical pesticides,3564
Lettuce,2025-02-10,2025-06-03,Maturity,Chemical pesticides,784
Barley,2024-05-29,2024-08-23,Flowering,Chemical pesticides,2414
Rice,2023-10-11,2024-01-24,Flowering,Chemical pesticides,4044
Lettuce,2023-11-24,2024-02-29,Maturity,Neem oil application,1415
Soybean,2024-07-18,2024-12-05,Flowering,Crop rotation,2928
Corn,2023-02-23,2023-08-06,Fruiting,Use of organic pesticides,2740
Wheat,2024-06-09,2024-10-17,Seedling,Crop rotation,542
Rice,2024-02-18,2024-05-31,Vegetative,Neem oil application,3587
Lettuce,2023-08-11,2024-02-06,Fruiting,Use of organic pesticides,3809
Wheat,2023-08-09,2023-10-22,Vegetative,Chemical pesticides,1047
Sugarcane,2023-04-11,2023-08-19,Flowering,Neem oil application,1562
Soybean,2024-06-02,2024-08-26,Vegetative,Crop rotation,4499
Sugarcane,2023-03-31,2023-09-05,Vegetative,Biological pest control,1196
Cotton,2024-12-09,2025-05-10,Seedling,Regular field monitoring,1156
Rice,2024-03-16,2024-05-27,Vegetative,Regular field monitoring,2593
Wheat,2024-06-19,2024-09-03,Vegetative,Use of organic pesticides,713
Corn,2024-09-18,2024-12-19,Vegetative,Biological pest control,1680
Corn,2023-12-30,2024-04-20,Seedling,Biological pest control,3636
Corn,2023-06-19,2023-12-01,Vegetative,Chemical pesticides,2161
Rice,2024-02-12,2024-04-27,Fruiting,Chemical pesticides,3204
Wheat,2023-03-12,2023-06-27,Flowering,Regular field monitoring,3463
Potato,2024-01-18,2024-06-08,Maturity,Chemical pesticides,2217
Rice,2025-01-29,2025-04-10,Maturity,Biological pest control,1878
